ID,Name,Department,GEO,Role,Rising_Star,Will_Relocate,Critical,Trending Perf,Talent_Level,Validated_Talent_Level,Percent_Remote,EMP_Sat_OnPrem_1,EMP_Sat_OnPrem_2,EMP_Sat_OnPrem_3,EMP_Sat_OnPrem_4,EMP_Sat_OnPrem_5,EMP_Sat_Remote_1,EMP_Sat_Remote_2,EMP_Sat_Remote_3,EMP_Sat_Remote_4,EMP_Sat_Remote_5,EMP_Engagement_1,EMP_Engagement_2,EMP_Engagement_3,EMP_Engagement_4,EMP_Engagement_5,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left_Company,CSR Factor,promotion_last_5years,sales,salary,Gender,LinkedIn_Hits,Emp_Work_Status2,Emp_Work_Status_3,Emp_Work_Status_4,Emp_Work_Status_5,Emp_Identity,Emp_Role,Emp_Position,Emp_Title,Women_Leave,Men_Leave,Emp_Competitive_1,Emp_Competitive_2,Emp_Competitive_3,Emp_Competitive_4,Emp_Competitive_5,Emp_Collaborative_1,Emp_Collaborative_2,Emp_Collaborative_3,Emp_Collaborative_4,Emp_Collaborative_5,Sensor_StepCount,Sensor_Heartbeat(Average/Min),Sensor_Proximity(1-highest/10-lowest)
11,AHEARN,IT,China,Senior Manager,,0,1,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.36,4,242,3,0,0,,0,sales,low,M,31,3,1,4,5,1,1,2,1,NA,1,1,3,1,4,5,2,1,4,5,4,2121,80,10
12,ADDIS,Warehouse,Korea,Senior Manager,,1,1,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.36,4,253,2,1,0,,0,RandD,low,F,3,4,5,2,2,2,2,2,2,1,NA,1,1,2,1,5,1,2,5,2,4,3554,78,9
13,ZUMWALT,Operations,UK,Senior Manager,,0,1,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.36,5,269,6,1,0,,0,marketing,medium,M,34,3,1,4,1,1,2,2,2,NA,1,1,2,2,4,5,2,1,4,5,2,3056,76,9
14,WURTH,Sales,Colombia,Senior Manager,,0,1,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.36,3,256,6,0,0,,0,support,medium,F,44,2,3,1,2,2,2,2,1,1,NA,1,3,1,1,3,1,2,1,3,3,3457,75,10
15,WILK,Finance,Korea,Senior Manager,,0,1,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.36,3,280,4,0,0,,0,support,low,M,65,2,2,5,1,1,1,2,1,NA,1,2,5,1,2,1,1,2,2,2,5,2774,76,10
16,WIDENER,Human Resources,France,Senior Manager,,0,1,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.36,2,132,5,0,0,,0,support,medium,F,13,5,3,5,3,1,1,1,1,0,NA,1,4,1,1,5,1,2,3,5,2,1262,63,6
17,WAGSTAFF,IT,US,Senior Manager,,1,1,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.36,3,167,5,0,0,,0,sales,low,F,33,3,4,1,2,2,2,2,1,1,NA,1,5,2,3,5,5,2,4,1,2,1544,65,9
18,VELLA,Warehouse,China,Senior Manager,,0,1,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.36,6,191,2,0,0,,0,product_mng,medium,F,5,4,4,5,2,2,2,1,1,1,NA,1,3,2,4,1,4,1,1,4,4,2908,90,8
19,URRUTIA,Operations,US,Senior Manager,,1,1,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.36,2,192,3,0,0,,0,sales,low,M,54,2,2,4,4,2,1,2,2,NA,1,2,1,2,3,3,4,2,4,2,5,2081,90,6
20,TERWILLIGER,Sales,Australia,Senior Manager,,0,1,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.36,3,167,5,0,0,,0,sales,low,F,40,5,3,4,2,2,1,2,2,1,NA,1,3,1,1,1,1,1,2,2,2,1180,68,10
21,TART,Finance,Australia,Senior Manager,,1,1,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.36,6,191,2,0,0,,0,product_mng,medium,M,27,5,1,1,3,1,1,1,1,NA,1,1,3,1,2,1,2,1,3,3,1,3951,88,7
22,STEINMAN,Human Resources,Korea,Senior Manager,,1,1,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.36,2,192,3,0,0,,0,sales,low,M,51,5,1,3,2,2,2,2,2,NA,1,1,1,1,1,4,4,1,3,1,3,2656,85,8
23,STAATS,IT,China,Manager,,1,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.37,2,176,2,0,0,,0,sales,low,M,36,3,5,5,1,2,2,1,2,NA,1,2,1,2,5,2,2,1,5,1,2,1922,73,7
24,SLOAT,Warehouse,Korea,Manager,,0,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.37,6,278,3,0,0,,0,technical,low,F,17,5,1,2,3,1,1,2,2,1,NA,1,1,1,4,5,4,1,4,4,2,3644,75,7
25,RIVES,Operations,Australia,Manager,,1,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.37,2,159,6,0,0,,0,RandD,low,F,17,3,1,1,2,1,2,2,1,0,NA,1,4,1,1,2,2,1,3,4,4,1713,73,7
26,RIGGLE,Sales,France,Manager,,1,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.37,3,181,2,0,0,,0,IT,low,M,29,4,5,1,3,1,2,1,1,NA,1,2,5,2,5,5,3,1,2,2,3,2925,86,8
27,REVELS,Finance,France,Manager,,1,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.37,5,186,2,0,0,,0,technical,medium,M,48,3,5,2,1,2,1,2,2,NA,1,2,3,2,1,5,3,2,4,4,1,2773,89,6
28,REICHARD,Human Resources,Japan,Manager,,1,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.37,6,226,2,0,0,,0,technical,low,M,11,4,5,3,4,2,2,2,2,NA,1,2,2,1,3,1,3,1,5,4,1,3375,80,8
29,PRICKETT,IT,Australia,Manager,,1,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.37,5,155,3,0,0,,0,sales,low,M,20,2,3,4,2,1,2,2,2,NA,1,1,1,1,3,1,3,2,2,2,5,1470,87,9
30,POFF,Warehouse,US,Manager,,0,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.37,4,129,4,0,0,,0,product_mng,medium,M,14,4,2,4,3,1,1,2,1,NA,1,2,4,1,1,3,3,2,4,3,3,1171,90,10
31,PITZER,Operations,UK,Manager,,1,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.37,5,128,3,1,0,,0,product_mng,medium,F,34,4,4,2,2,1,2,2,1,0,NA,2,2,1,5,4,1,2,2,3,2,1561,88,10
32,PETRO,Sales,Colombia,Manager,,0,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.37,2,171,4,0,0,,0,support,low,M,33,3,2,4,4,1,1,2,1,NA,1,1,1,2,3,4,1,2,5,4,4,1097,73,10
33,PELL,Finance,Japan,Manager,,0,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.37,6,200,3,0,0,,0,product_mng,low,F,25,4,1,4,1,1,1,1,1,1,NA,1,5,2,1,3,1,2,1,2,3,2553,85,9
34,NORTHRUP,Human Resources,Australia,Manager,,0,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.37,3,247,4,0,0,,0,hr,medium,M,44,2,5,4,2,2,2,1,1,NA,1,1,5,2,5,1,4,2,3,2,2,2282,77,10
35,NICKS,IT,Colombia,Manager,,1,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.37,6,266,3,0,0,,1,hr,medium,M,55,1,5,4,2,5,5,2,2,NA,NA,1,2,2,2,3,4,1,4,3,5,3032,79,8
36,MOLINE,Warehouse,Turkey,Manager,,1,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.37,3,256,3,0,0,,0,product_mng,medium,F,62,5,2,5,4,2,2,2,2,1,NA,4,1,4,5,5,5,1,1,2,3,3328,79,6
37,MIELKE,Operations,France,Manager,,0,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.37,2,232,3,1,0,,0,hr,low,M,48,3,5,2,1,1,2,2,2,NA,1,1,5,2,2,4,3,2,1,3,3,3750,80,6
38,MAYNOR,Sales,US,Manager,,1,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.37,3,168,3,0,0,,0,hr,low,F,9,3,2,4,5,1,1,1,1,1,NA,1,3,2,2,1,1,2,1,3,4,1318,60,6
39,MALLON,Finance,Japan,Manager,,1,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.37,2,284,3,0,0,,0,technical,high,M,62,3,4,4,1,1,1,2,2,NA,1,2,2,2,4,2,2,1,3,1,1,3193,76,10
40,MAGNESS,Human Resources,China,Manager,,0,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.37,3,127,4,0,0,,0,sales,medium,M,34,5,2,2,1,2,1,1,2,NA,1,2,2,2,4,5,2,1,3,2,1,1017,74,6
41,LINGLE,IT,US,Manager,,0,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.37,4,216,4,0,0,,0,technical,low,F,46,2,2,5,1,2,2,1,1,1,NA,1,4,2,3,4,4,1,4,1,3,3417,78,10
42,LINDELL,Warehouse,UK,Manager,,0,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.37,6,233,5,0,0,,0,RandD,medium,M,55,4,1,2,3,2,1,1,1,NA,1,2,3,1,5,1,5,2,1,1,5,3331,76,9
43,LIEB,Operations,Korea,Manager,,0,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.37,4,285,3,0,0,,0,management,low,M,10,2,2,1,2,1,2,2,1,NA,1,1,2,2,5,3,2,2,2,4,5,3088,79,9
44,LESKO,Sales,Turkey,Manager,,1,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.37,3,167,3,0,0,,0,accounting,medium,F,6,4,4,5,5,1,2,1,2,1,NA,2,3,1,2,2,2,2,5,4,2,1871,60,7
45,LEBEAU,Finance,France,Level 2-4,,0,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.37,3,111,2,0,0,,0,sales,high,F,52,5,1,4,3,2,2,2,2,0,NA,2,3,1,3,1,5,2,3,2,5,1535,70,8
46,LAMMERS,Human Resources,Colombia,Level 2-4,,0,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.37,3,137,4,0,0,,0,sales,low,M,38,2,5,1,5,1,2,2,2,NA,1,2,2,1,1,3,5,1,5,2,2,1002,68,6
47,LAFOND,IT,US,Level 2-4,,1,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.37,4,153,2,0,0,,0,sales,medium,M,64,4,3,4,3,1,1,2,1,NA,1,1,2,1,1,1,5,1,5,2,3,1747,89,10
48,KIERNAN,Warehouse,Colombia,Level 2-4,,1,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.37,5,101,4,1,0,,0,support,low,F,8,3,2,3,2,1,2,1,2,0,NA,1,3,2,3,3,3,1,1,3,3,1981,90,8
49,KETRON,Operations,Korea,Level 2-4,,0,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.37,3,108,4,0,0,,0,technical,low,M,34,2,4,5,5,2,2,2,2,NA,1,2,1,1,2,3,1,1,3,2,4,1837,65,8
50,JURADO,Sales,US,Level 2-4,,1,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.37,3,123,2,0,0,,0,sales,medium,F,55,5,3,2,3,2,1,1,2,0,NA,1,4,2,5,4,4,2,1,5,2,1143,62,8
51,HOLMGREN,Finance,Turkey,Level 2-4,,1,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.37,2,167,3,0,0,,0,sales,low,M,23,1,1,1,1,2,1,1,2,NA,1,2,1,2,4,2,4,2,4,5,3,1256,69,6
52,HILBURN,Human Resources,US,Level 2-4,,1,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.37,2,280,3,0,0,,0,accounting,medium,M,62,5,5,5,5,2,2,1,1,NA,1,1,2,2,3,5,2,1,5,1,4,2669,77,8
53,HAYASHI,IT,US,Level 2-4,,1,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.37,4,165,6,0,0,,0,marketing,medium,M,44,3,2,3,4,2,2,2,2,NA,1,1,1,1,4,1,2,1,3,4,4,1563,87,6
54,HASHIMOTO,Warehouse,Turkey,Level 2-4,,0,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.37,3,127,3,0,0,,0,sales,low,F,51,2,5,5,3,2,1,1,2,0,NA,2,4,2,2,1,2,2,5,5,4,1469,67,6
55,HARBAUGH,Operations,Korea,Level 2-4,,0,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.37,2,104,3,1,0,,0,support,medium,F,52,3,5,1,4,2,2,1,1,0,NA,2,5,2,2,1,4,2,4,3,4,1506,61,6
56,HANS,Sales,US,Level 2-4,,1,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.37,3,125,2,0,0,,0,RandD,medium,M,46,4,4,5,3,2,1,2,1,NA,1,2,3,1,3,4,2,1,1,4,1,1677,73,8
57,GUILLOT,Finance,Korea,Level 2-4,,0,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.37,3,169,3,1,0,,0,support,medium,M,14,4,5,5,3,1,1,2,1,NA,1,1,4,1,1,5,4,4,3,3,2,1012,65,9
58,GARD,Human Resources,Australia,Level 2-4,,0,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.37,6,219,6,0,0,,0,product_mng,low,M,16,4,1,3,3,1,1,1,1,NA,1,2,4,2,4,3,1,2,1,2,1,3063,76,10
59,FROEHLICH,IT,US,Level 2-4,,1,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.37,5,173,2,0,0,,0,accounting,low,F,8,4,4,5,5,2,2,2,1,1,NA,2,1,2,4,3,1,2,3,1,5,1866,88,7
60,FELIPE,Warehouse,UK,Level 2-4,,1,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.37,5,156,4,0,0,,0,sales,medium,M,41,3,1,4,3,1,2,1,1,NA,1,2,4,2,4,2,1,1,3,4,5,1975,90,8
61,FEINBERG,Operations,Turkey,Level 2-4,,0,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.37,5,246,3,0,0,,0,support,medium,M,3,1,5,3,2,1,2,1,2,NA,1,1,2,1,3,3,2,1,3,5,4,3565,80,8
62,FALCO,Sales,US,Level 2-4,,0,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.37,2,118,2,0,0,,0,product_mng,high,F,55,2,5,1,5,2,1,1,1,0,NA,2,3,2,4,2,1,1,4,5,5,1927,75,10
63,DUFOUR,Finance,UK,Level 2-4,,0,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.37,3,164,4,1,0,,0,accounting,low,M,57,4,5,2,3,2,1,2,1,NA,1,2,1,1,5,4,5,2,2,1,4,1348,71,7
64,DREES,Human Resources,Korea,Level 2-4,,1,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.37,2,219,2,0,0,,0,technical,low,F,14,5,5,3,2,1,1,2,1,1,NA,2,1,2,4,3,4,1,1,4,1,3943,78,6
65,DONEY,IT,US,Level 2-4,,1,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.37,6,187,10,1,0,,0,sales,high,F,36,3,3,2,5,2,2,2,2,1,NA,1,5,1,3,1,1,1,2,4,1,2869,86,6
66,DIEP,Warehouse,France,Level 2-4,,0,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.37,3,180,3,0,0,,0,support,medium,F,63,1,2,1,3,1,1,2,2,1,NA,2,2,2,1,4,5,1,1,3,1,1429,90,10
67,DELAO,Operations,Colombia,Level 2-4,,0,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.37,3,170,6,0,0,,0,IT,low,F,32,1,3,1,4,2,2,2,2,1,NA,2,5,2,5,3,5,1,4,5,5,1281,71,6
68,DAVES,Sales,Colombia,Level 2-4,,1,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.37,2,179,5,0,0,,1,support,low,F,44,1,4,3,4,5,1,1,2,1,NA,1,5,1,1,1,3,1,4,5,1,1362,63,10
69,DAIL,Finance,China,Level 2-4,,0,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.37,5,156,4,0,0,,0,sales,medium,M,57,4,4,4,1,1,1,1,1,NA,1,5,5,4,3,1,4,2,3,3,1,1051,85,9
70,CUTTING,Human Resources,China,Level 2-4,,1,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.37,5,246,3,0,0,,0,support,medium,F,21,2,3,3,2,2,1,2,1,1,NA,2,5,2,3,3,2,2,2,2,3,2022,77,10
71,CROWSON,IT,France,Level 2-4,,0,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.37,2,118,2,0,0,,0,product_mng,high,M,28,5,3,3,2,2,1,2,2,NA,1,1,5,2,5,5,3,1,4,5,2,1211,63,6
72,COSS,Warehouse,France,Level 2-4,,1,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.37,3,164,4,1,0,,0,accounting,low,M,28,2,3,4,5,2,1,1,1,NA,1,2,4,2,1,4,3,1,5,4,4,1404,63,7
73,CONGDON,Operations,US,Level 2-4,,0,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.37,2,219,2,0,0,,0,technical,low,F,39,2,4,4,2,2,2,1,2,1,NA,1,3,2,5,5,4,2,4,5,4,2581,78,9
74,CARNER,Sales,UK,Level 2-4,,1,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.37,6,187,10,1,0,,0,sales,high,M,43,3,5,5,3,2,2,1,2,NA,1,2,4,1,5,1,2,1,2,2,3,2245,86,7
75,CAMARENA,Finance,China,Level 2-4,,1,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.37,3,180,3,0,0,,0,support,medium,M,31,4,5,1,5,1,1,2,2,NA,1,2,4,1,1,2,1,5,4,2,1,1170,89,6
76,BUTTERWORTH,Human Resources,Australia,Level 2-4,,1,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.37,3,170,6,0,0,,0,IT,low,F,53,2,5,5,5,2,2,2,1,1,NA,1,3,1,3,1,3,2,2,3,5,1498,69,6
77,BURLINGAME,IT,Korea,Level 2-4,,0,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.37,2,179,5,0,0,,1,support,low,F,61,5,4,1,2,5,1,1,2,1,NA,2,4,2,1,3,4,2,4,3,3,1728,72,6
78,BOUFFARD,Warehouse,China,Level 2-4,,1,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.38,3,257,3,0,0,,0,technical,medium,F,12,1,1,4,4,1,1,2,2,1,NA,4,1,5,3,4,4,1,4,1,2,3703,78,8
79,BLOCH,Operations,US,Level 2-4,,0,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.38,6,169,3,0,0,,0,accounting,low,F,53,5,5,3,1,1,1,2,1,1,NA,2,1,2,4,1,1,2,4,1,3,1132,90,9
80,BILYEU,Sales,US,Level 2-4,,1,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.38,4,183,5,0,0,,0,support,medium,M,32,1,3,1,5,2,1,1,1,NA,1,1,3,2,3,2,4,1,2,4,4,3948,88,6
81,BARTA,Finance,Korea,Level 2-4,,0,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.38,2,126,3,0,0,,0,sales,medium,F,17,2,4,4,3,2,2,2,1,0,NA,2,3,2,4,4,3,2,5,4,1,1150,63,9
82,BAKKE,Human Resources,China,Level 2-4,,0,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.38,3,280,2,0,0,,0,marketing,low,F,7,5,1,1,1,2,1,2,2,1,NA,1,2,1,5,2,2,1,5,1,4,2923,75,10
83,BAILLARGEON,IT,China,Level 2-4,,0,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.38,6,215,3,0,0,,0,IT,medium,F,6,3,5,1,3,2,2,2,1,1,NA,1,4,2,4,5,5,1,1,4,3,2915,75,7
84,AVENT,Warehouse,China,Level 2-4,,1,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.38,5,139,4,0,0,,0,support,medium,M,46,4,5,5,5,1,2,2,1,NA,1,2,4,1,3,5,5,1,2,3,3,1193,87,9
85,AQUILAR,Operations,China,Level 2-4,,1,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.38,3,134,3,0,0,,0,product_mng,medium,F,31,2,5,5,2,2,2,1,2,0,NA,2,5,2,2,5,4,1,2,5,2,1504,67,10
86,AKE,Sales,China,Level 2-4,,1,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.38,6,165,3,0,0,,0,accounting,low,F,61,5,3,5,1,1,2,1,2,1,NA,2,2,2,3,3,1,2,4,2,1,1265,86,6
87,AHO,Finance,Japan,Level 2-4,,0,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.38,2,106,3,1,0,,0,support,medium,F,37,5,1,2,1,1,2,2,2,0,NA,2,4,2,2,5,4,1,5,1,5,1964,64,6
88,ZERINGUE,Human Resources,France,Level 2-4,,1,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.38,5,175,4,0,0,,0,technical,high,M,8,4,3,1,4,2,1,1,1,NA,1,1,5,2,2,1,3,2,1,3,3,1996,89,7
89,YEH,IT,Colombia,Level 2-4,,0,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.38,5,171,6,1,0,,1,accounting,high,F,58,3,3,2,5,4,1,5,5,1,NA,1,5,1,3,2,3,2,3,4,3,1257,86,7
90,YARBER,Warehouse,Korea,Level 2-4,,1,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.38,3,197,2,0,0,,0,sales,medium,F,14,2,1,4,4,2,1,2,1,1,NA,4,2,4,1,4,4,1,1,2,4,2054,86,8
91,WOLFSON,Operations,US,Level 2-4,,1,,3,6,6,0.4,3,3,4,3,5,2,3,2,3,2,5,5,4,4,3,0.38,4,135,2,0,0,,0,product_mng,high,M,47,4,1,5,5,2,2,1,2,NA,1,2,4,2,4,1,2,1,4,4,2,1308,87,7
